"return_id","return_type","market","partner","logistics_provider","owner","status","created_date","due_date","last_update_date","closed_date","item_description","quantity","value_eur","currency","delay_reason","notes","source_label"
"DXR-1001","Service part","Germany","MedServ DE","TransLine Europe","Anna Keller","Item received","2026-05-21","2026-06-18","2026-07-05","","X-ray detector module","1","42800","EUR","Pickup missed","Demo update: item received at returns location and awaiting next operational action.","Synthetic demo data"
"DXR-1002","Finished device","Netherlands","Hospital Partner NL","NorthSea Freight","Joost Vermeer","In transit","2026-06-07","2026-07-10","2026-07-06","","Patient monitor unit","2","18400","EUR","Carrier handoff","Synthetic record: shipment departed hub and awaits receiving confirmation.","Synthetic demo data"
"DXR-1003","Service part","France","BioClinique FR","TransLine Europe","Claire Martin","Returned","2026-04-29","2026-06-03","2026-07-04","2026-07-08","Ultrasound probe assembly","3","31500","EUR","Missing export document","Demo update: return completed and item marked as returned.","Synthetic demo data"
"DXR-1004","Finished device","Spain","Iberia Health","EuroRoute Logistics","Marta Ruiz","Credit note created and sent to customer","2026-06-01","2026-07-03","2026-07-07","2026-07-08","Defibrillator system","1","12900","EUR","Receiving backlog","Demo update: credit note created and sent to customer; return financially closed.","Synthetic demo data"
"DXR-1005","Service part","Italy","Clinica Nord IT","MedMove Logistics","Luca Romano","Awaiting market action","2026-06-18","","2026-07-01","","MRI cooling pump","1","22100","EUR","Missing due date","Synthetic record: return authorization exists but no committed due date was provided.","Synthetic demo data"
"DXR-1006","Service part","United Kingdom","NHS Trust Demo","BritShip Medical","Sarah Collins","Closed","2026-05-12","2026-06-14","2026-06-12","2026-06-12","CT gantry sensor","2","9600","EUR","Closed on time","Synthetic record: received and financially closed before due date.","Synthetic demo data"
"DXR-1007","Finished device","Sweden","Nordic Care SE","NordicRoute AB","Erik Lind","Return authorized","2026-06-26","2026-07-18","2026-07-06","","Portable ultrasound unit","1","15400","EUR","Awaiting pickup window","Synthetic record: market has authorization and is planning pickup slot.","Synthetic demo data"
"DXR-1008","Service part","Belgium","BeLux Diagnostics","TransLine Europe","Marie Dubois","Item received","2026-06-04","2026-06-28","2026-07-02","","Image reconstruction board","1","36700","EUR","Disposition pending","Demo update: item received at returns location and awaiting next operational action.","Synthetic demo data"
"DXR-1009","Service part","Austria","Alpen Klinik AT","MedMove Logistics","Thomas Gruber","In transit","2026-06-29","2026-07-12","2026-07-07","","Gradient amplifier card","1","28600","EUR","Normal transit","Synthetic record: no exception reported, carrier ETA within target.","Synthetic demo data"
"DXR-1010","Finished device","Poland","Warsaw Health PL","EastMed Transport","Piotr Nowak","Pickup pending","2026-05-31","2026-06-24","2026-07-03","","Respiratory monitor","4","11200","EUR","Pickup capacity","Synthetic record: pickup capacity delayed at regional partner.","Synthetic demo data"
"DXR-1011","Service part","Denmark","Copenhagen Imaging","NordicRoute AB","Freja Hansen","Credit note created and sent to customer","2026-06-11","2026-07-08","2026-07-02","2026-07-08","Ultrasound transducer","2","19800","EUR","Missing local approval","Demo update: credit note created and sent to customer; return financially closed.","Synthetic demo data"
"DXR-1012","Finished device","Germany","MedServ DE","TransLine Europe","Anna Keller","Item received","2026-05-18","2026-06-15","2026-07-06","","Mobile C-arm","1","54300","EUR","Inspection backlog","Demo update: item received at returns location and awaiting next operational action.","Synthetic demo data"
"DXR-1013","Service part","Portugal","Lisbon Diagnostics","Atlantic MedFreight","Ines Silva","In transit","2026-06-22","2026-07-16","2026-07-05","","Power supply module","5","8200","EUR","Normal transit","Synthetic record: shipment progressing without exception.","Synthetic demo data"
"DXR-1014","Service part","Ireland","Dublin Care IE","BritShip Medical","Niamh Byrne","Returned","2026-05-25","2026-06-20","2026-07-03","2026-07-08","Detector calibration kit","1","17400","EUR","Commodity code mismatch","Demo update: return completed and item marked as returned.","Synthetic demo data"
"DXR-1015","Finished device","France","BioClinique FR","EuroRoute Logistics","Claire Martin","Return authorized","2026-07-02","2026-07-25","2026-07-05","","Telemetry station","1","12100","EUR","Awaiting packaging","Synthetic record: partner arranging approved transport packaging.","Synthetic demo data"
"DXR-1016","Service part","Spain","Iberia Health","EuroRoute Logistics","Marta Ruiz","Returned","2026-06-16","2026-07-05","2026-07-06","2026-07-08","CT collimator module","1","33400","EUR","Disposition pending","Demo update: return completed and item marked as returned.","Synthetic demo data"
"DXR-1017","Finished device","Italy","Clinica Nord IT","MedMove Logistics","Luca Romano","Credit note created and sent to customer","2026-06-05","2026-06-29","2026-07-04","2026-07-08","Anesthesia workstation","1","24700","EUR","Customer site access","Demo update: credit note created and sent to customer; return financially closed.","Synthetic demo data"
"DXR-1018","Service part","United Kingdom","NHS Trust Demo","BritShip Medical","Sarah Collins","Awaiting market action","2026-06-20","","2026-06-28","","Probe connector set","8","6400","EUR","Missing due date","Synthetic record: local team has not confirmed due date or owner.","Synthetic demo data"
"DXR-1019","Service part","Switzerland","Swiss Imaging AG","Alpine Freight AG","Lena Meier","Returned","2026-06-28","2026-07-09","2026-07-07","2026-07-08","MRI RF coil","1","47200","EUR","Border processing","Demo update: return completed and item marked as returned.","Synthetic demo data"
"DXR-1020","Finished device","Belgium","BeLux Diagnostics","TransLine Europe","Marie Dubois","Closed","2026-05-30","2026-06-26","2026-06-29","2026-06-29","Vital signs monitor","3","7800","EUR","Closed late","Synthetic record: closed three days after due date due to receiving delay.","Synthetic demo data"
"DXR-1021","Service part","Netherlands","Hospital Partner NL","NorthSea Freight","Joost Vermeer","Inspection pending","2026-06-13","2026-07-11","2026-07-07","","Digital detector cable set","10","14300","EUR","Inspection queue","Synthetic record: received and waiting quality check.","Synthetic demo data"
"DXR-1022","Finished device","Austria","Alpen Klinik AT","MedMove Logistics","Thomas Gruber","Credit note created and sent to customer","2026-06-24","2026-07-07","2026-07-04","2026-07-08","Emergency care display","2","11600","EUR","Pickup reschedule","Demo update: credit note created and sent to customer; return financially closed.","Synthetic demo data"
"DXR-1023","Service part","Poland","Warsaw Health PL","EastMed Transport","Piotr Nowak","Item received","2026-05-17","2026-06-10","2026-07-02","","Ultrasound beamformer board","1","39200","EUR","Missing export document","Demo update: item received at returns location and awaiting next operational action.","Synthetic demo data"
"DXR-1024","Finished device","Denmark","Copenhagen Imaging","NordicRoute AB","Freja Hansen","Received","2026-06-30","2026-07-21","2026-07-07","","Patient telemetry receiver","2","9700","EUR","Normal processing","Synthetic record: newly received and awaiting standard disposition.","Synthetic demo data"
"DXR-1025","Service part","Ireland","Dublin Care IE","BritShip Medical","Niamh Byrne","Return authorized","2026-07-04","2026-07-27","2026-07-06","","Power distribution board","1","15800","EUR","Awaiting pickup window","Synthetic record: newly authorized return with pickup planning underway.","Synthetic demo data"
"DXR-2001","Finished device","Germany","MedServ DE","TransLine Europe","Anna Keller","Pickup pending","2026-06-30","","2026-07-07","","Patient monitor unit","1","10200","EUR","Missing due date","Synthetic record: missing due date noted for Germany return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2002","Service part","Netherlands","Hospital Partner NL","NorthSea Freight","Joost Vermeer","Closed","2026-06-19","2026-07-12","2026-07-04","2026-07-08","Ultrasound probe assembly","2","9031","EUR","Customer site access","Synthetic record: customer site access noted for Netherlands return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2003","Service part","France","BioClinique FR","EuroRoute Logistics","Claire Martin","Received","2026-06-08","2026-06-26","2026-07-01","","MRI cooling pump","3","10662","EUR","Pickup capacity","Synthetic record: pickup capacity noted for France return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2004","Finished device","Spain","Iberia Health","MedMove Logistics","Marta Ruiz","Return authorized","2026-05-28","2026-06-10","2026-06-28","","Respiratory monitor","4","15093","EUR","Receiving backlog","Synthetic record: receiving backlog noted for Spain return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2005","Service part","Italy","Clinica Nord IT","BritShip Medical","Luca Romano","Awaiting market action","2026-05-17","2026-05-25","2026-06-25","","Image reconstruction board","5","13924","EUR","Pickup reschedule","Synthetic record: pickup reschedule noted for Italy return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2006","Service part","United Kingdom","NHS Trust Demo","NordicRoute AB","Sarah Collins","Inspection pending","2026-05-06","2026-05-09","2026-06-22","","Gradient amplifier card","6","15555","EUR","Commodity code mismatch","Synthetic record: commodity code mismatch noted for United Kingdom return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2007","Finished device","Sweden","Nordic Care SE","EastMed Transport","Erik Lind","Customs hold","2026-04-25","2026-04-23","2026-07-07","","Patient telemetry receiver","1","12786","EUR","Disposition pending","Synthetic record: disposition pending noted for Sweden return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2008","Service part","Belgium","BeLux Diagnostics","Atlantic MedFreight","Marie Dubois","In transit","2026-04-14","2026-05-11","2026-07-04","","CT collimator module","2","11617","EUR","Carrier handoff","Synthetic record: carrier handoff noted for Belgium return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2009","Service part","Austria","Alpen Klinik AT","Alpine Freight AG","Thomas Gruber","Pickup pending","2026-06-26","2026-07-18","2026-07-01","","MRI RF coil","3","13248","EUR","Border processing","Synthetic record: border processing noted for Austria return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2010","Finished device","Poland","Warsaw Health PL","TransLine Europe","Piotr Nowak","Closed","2026-06-15","2026-07-02","2026-06-28","2026-07-02","Vital signs monitor","4","17679","EUR","Missing local approval","Synthetic record: missing local approval noted for Poland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2011","Service part","Denmark","Copenhagen Imaging","NorthSea Freight","Freja Hansen","Received","2026-06-04","2026-06-16","2026-06-25","","X-ray detector module","5","16510","EUR","Missing due date","Synthetic record: missing due date noted for Denmark return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2012","Service part","Ireland","Dublin Care IE","EuroRoute Logistics","Niamh Byrne","Return authorized","2026-05-24","2026-05-31","2026-06-22","","Ultrasound probe assembly","6","18141","EUR","Normal processing","Synthetic record: normal processing noted for Ireland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2013","Finished device","Switzerland","Swiss Imaging AG","MedMove Logistics","Lena Meier","Awaiting market action","2026-05-13","2026-05-15","2026-07-07","","Portable ultrasound unit","1","15372","EUR","Awaiting packaging","Synthetic record: awaiting packaging noted for Switzerland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2014","Service part","Portugal","Lisbon Diagnostics","BritShip Medical","Ines Silva","Inspection pending","2026-05-02","2026-04-29","2026-07-04","","CT gantry sensor","2","14203","EUR","Normal transit","Synthetic record: normal transit noted for Portugal return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2015","Service part","Norway","Oslo Care NO","NordicRoute AB","Kari Olsen","Customs hold","2026-04-21","2026-05-17","2026-07-01","","Image reconstruction board","3","15834","EUR","Missing export document","Synthetic record: missing export document noted for Norway return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2016","Finished device","Finland","Helsinki Imaging","EastMed Transport","Aino Virtanen","In transit","2026-04-10","2026-05-01","2026-06-28","","Emergency care display","4","20265","EUR","Inspection queue","Synthetic record: inspection queue noted for Finland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2017","Service part","Germany","MedServ DE","Atlantic MedFreight","Anna Keller","Pickup pending","2026-06-22","2026-07-08","2026-06-25","","Detector calibration kit","5","19096","EUR","Inspection backlog","Synthetic record: inspection backlog noted for Germany return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2018","Service part","Netherlands","Hospital Partner NL","Alpine Freight AG","Joost Vermeer","Closed","2026-06-11","2026-06-22","2026-06-22","2026-06-22","CT collimator module","6","20727","EUR","Awaiting pickup window","Synthetic record: awaiting pickup window noted for Netherlands return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2019","Finished device","France","BioClinique FR","TransLine Europe","Claire Martin","Received","2026-05-31","2026-06-06","2026-07-07","","Anesthesia workstation","1","17958","EUR","Pickup missed","Synthetic record: pickup missed noted for France return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2020","Service part","Spain","Iberia Health","NorthSea Freight","Marta Ruiz","Return authorized","2026-05-20","2026-05-21","2026-07-04","","Power distribution board","2","16789","EUR","Customer site access","Synthetic record: customer site access noted for Spain return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2021","Service part","Italy","Clinica Nord IT","EuroRoute Logistics","Luca Romano","Awaiting market action","2026-05-09","2026-05-05","2026-07-01","","X-ray detector module","3","18420","EUR","Pickup capacity","Synthetic record: pickup capacity noted for Italy return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2022","Finished device","United Kingdom","NHS Trust Demo","MedMove Logistics","Sarah Collins","Inspection pending","2026-04-28","2026-05-23","2026-06-28","","Defibrillator system","4","22851","EUR","Receiving backlog","Synthetic record: receiving backlog noted for United Kingdom return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2023","Service part","Sweden","Nordic Care SE","BritShip Medical","Erik Lind","Customs hold","2026-04-17","2026-05-07","2026-06-25","","MRI cooling pump","5","21682","EUR","Pickup reschedule","Synthetic record: pickup reschedule noted for Sweden return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2024","Service part","Belgium","BeLux Diagnostics","NordicRoute AB","Marie Dubois","In transit","2026-06-29","2026-07-14","2026-06-22","","CT gantry sensor","6","23313","EUR","Commodity code mismatch","Synthetic record: commodity code mismatch noted for Belgium return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2025","Finished device","Austria","Alpen Klinik AT","EastMed Transport","Thomas Gruber","Pickup pending","2026-06-18","2026-06-28","2026-07-07","","Mobile C-arm","1","20544","EUR","Disposition pending","Synthetic record: disposition pending noted for Austria return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2026","Service part","Poland","Warsaw Health PL","Atlantic MedFreight","Piotr Nowak","Closed","2026-06-07","2026-06-12","2026-07-04","2026-06-12","Gradient amplifier card","2","19375","EUR","Carrier handoff","Synthetic record: carrier handoff noted for Poland return; generated for scale testing only.","Synthetic generated demo data"
